nd-done-ship	ship	open-nd=0	held=0	owned=0
nd-done-scout	scout	open-nd=0	held=0	owned=0
nd-failed-ship	ship	open-nd=0	held=0	owned=0
nd-done-secondmate	secondmate	open-nd=1	held=0	owned=1
nd-done-nometa	NOMETA	open-nd=1	held=0	owned=1
nd-done-metanokind	NOKIND	open-nd=0	held=0	owned=0
nd-done-weirdkind	weird	open-nd=1	held=0	owned=1
nd-done-nocolon-key	ship	open-nd=1	held=0	owned=1
nd-done-bareword	ship	open-nd=1	held=0	owned=1
nd-Done-case	ship	open-nd=1	held=0	owned=1
nd-done-then-nd	ship	open-nd=1	held=0	owned=1
nd-resolved	ship	open-nd=0	held=0	owned=0
nd2-resolve1	ship	open-nd=1	held=0	owned=1
nd-corr-done	ship	open-nd=0	held=0	owned=0
nd-done-prose	secondmate	open-nd=1	held=0	owned=1
held-prose	ship	open-nd=0	held=1	owned=1
held-working	ship	open-nd=0	held=0	owned=0
held-prready	ship	open-nd=0	held=0	owned=0
held-prose-mentions-done	ship	open-nd=0	held=1	owned=1
held-DONE-upper	ship	open-nd=0	held=0	owned=0
held-note	ship	open-nd=0	held=0	owned=0
held-blank-tail	ship	open-nd=0	held=1	owned=1
held-then-nd	ship	open-nd=1	held=0	owned=1
prose-only	ship	open-nd=0	held=0	owned=0
blocked-only	ship	open-nd=0	held=0	owned=0
nd-done-secondmate-then-resolved	secondmate	open-nd=0	held=0	owned=0
nd-badkey-done	ship	open-nd=0	held=0	owned=0
held-merged-legacy	ship	open-nd=0	held=0	owned=0
